level_0,index,team,code,name,surname,laps,time,grand_prix,date,year
9,K,Mercedes,BOT,Valtteri,Bottas,53,34:00.4,                         Russia                     ,27-Sep-20,2020
10,L,Mercedes,HAM,Lewis,Hamilton,60,35:49.6,                         Eifel                     ,11-Oct-20,2020
11,I,Mercedes,HAM,Lewis,Hamilton,66,29:56.8,                         Portugal                     ,25-Oct-20,2020
12,M,Mercedes,HAM,Lewis,Hamilton,63,28:32.4,                         Emilia Romagna                     ,01-Nov-20,2020
13,P,Mercedes,HAM,Lewis,Hamilton,58,42:19.3,                         Turkey                     ,15-Nov-20,2020
14,R,Mercedes,HAM,Lewis,Hamilton,57,59:47.5,                         Bahrain                     ,29-Nov-20,2020
15,S,Racing Point BWT Mercedes,PER,Sergio,Perez,87,31:15.1,                         Sakhir                     ,06-Dec-20,2020
16,V,Red Bull Racing Honda,VER,Max,Verstappen,55,36:28.6,                         Abu Dhabi                     ,13-Dec-20,2020
0,,Mercedes,HAM,Lewis,Hamilton,56,32:03.9,"
                        Bahrain
                    ",28-Mar-21,2021
1,,Red Bull Racing Honda,VER,Max,Verstappen,63,02:34.6,"
                        Emilia Romagna
                    ",18-Apr-21,2021
2,,Mercedes,HAM,Lewis,Hamilton,66,34:31.4,"
                        Portugal
                    ",02-May-21,2021
3,,Mercedes,HAM,Lewis,Hamilton,66,33:07.7,"
                        Spain
                    ",09-May-21,2021
4,,Red Bull Racing Honda,VER,Max,Verstappen,78,38:56.8,"
                        Monaco
                    ",23-May-21,2021
5,,Red Bull Racing Honda,PER,Sergio,Perez,51,13:36.4,"
                        Azerbaijan
                    ",06-Jun-21,2021
6,,Red Bull Racing Honda,VER,Max,Verstappen,53,27:25.8,"
                        France
                    ",20-Jun-21,2021
7,,Red Bull Racing Honda,VER,Max,Verstappen,71,22:18.9,"
                        Styria
                    ",27-Jun-21,2021
8,,Red Bull Racing Honda,VER,Max,Verstappen,71,23:54.5,"
                        Austria
                    ",04-Jul-21,2021
9,,Mercedes,HAM,Lewis,Hamilton,52,58:23.3,"
                        Great Britain
                    ",18-Jul-21,2021
10,,Alpine Renault,OCO,Esteban,Ocon,70,04:43.2,"
                        Hungary
                    ",01-Aug-21,2021
11,,Red Bull Racing Honda,VER,Max,Verstappen,1,03:27.1,"
                        Belgium
                    ",29-Aug-21,2021
12,,Red Bull Racing Honda,VER,Max,Verstappen,72,30:05.4,"
                        Netherlands
                    ",05-Sep-21,2021
13,,McLaren Mercedes,RIC,Daniel,Ricciardo,53,21:54.4,"
                        Italy
                    ",12-Sep-21,2021
14,,Mercedes,HAM,Lewis,Hamilton,53,30:41.0,"
                        Russia
                    ",26-Sep-21,2021
15,,Mercedes,BOT,Valtteri,Bottas,58,31:04.1,"
                        Turkey
                    ",10-Oct-21,2021
16,,Red Bull Racing Honda,VER,Max,Verstappen,56,34:36.6,"
                        United States 
                    ",24-Oct-21,2021
17,,Red Bull Racing Honda,VER,Max,Verstappen,71,38:39.1,"
                        Mexico
                    ",07-Nov-21,2021
18,,Mercedes,HAM,Lewis,Hamilton,71,32:22.9,"
                        Brazil
                    ",14-Nov-21,2021
19,,Mercedes,HAM,Lewis,Hamilton,57,24:28.5,"
                        Qatar
                    ",21-Nov-21,2021
20,,Mercedes,HAM,Lewis,Hamilton,50,06:15.1,"
                        Saudi Arabia
                    ",05-Dec-21,2021
21,,Red Bull Racing Honda,VER,Max,Verstappen,58,30:17.3,"
                        Abu Dhabi
                    ",12-Dec-21,2021
